Date,Open,High,Low,Close,Volume,Adj Close
2017-03-07,9.89,9.94,9.60,9.71,13952800,9.71
2017-03-06,9.76,9.92,9.64,9.88,15115000,9.88
2017-03-03,9.61,9.80,9.61,9.74,11129500,9.74
2017-03-02,9.85,10.15,9.70,9.71,19905300,9.71
2017-03-01,9.80,9.98,9.61,9.84,19382100,9.84
2017-02-28,9.70,9.88,9.56,9.82,19928600,9.82
2017-02-27,10.02,10.12,9.58,9.60,28227500,9.60
2017-02-24,10.06,10.44,9.99,10.06,22110800,10.06
2017-02-23,10.19,10.29,10.03,10.16,20290500,10.16
2017-02-22,9.82,10.38,9.81,10.29,38269000,10.29
2017-02-21,9.82,9.95,9.71,9.85,21869700,9.85
2017-02-20,9.63,9.95,9.61,9.88,20994100,9.88
2017-02-17,10.08,10.20,9.66,9.71,25333000,9.71
2017-02-16,10.15,10.22,9.86,10.00,24327400,10.00
2017-02-15,10.32,10.49,9.90,10.13,24900600,10.13
2017-02-14,10.23,10.48,10.15,10.45,30814200,10.45
2017-02-13,9.86,10.88,9.86,10.55,63015700,10.55
2017-02-10,10.23,10.28,9.86,9.89,28743400,9.89
2017-02-09,10.05,10.35,9.96,10.22,35047000,10.22
2017-02-08,10.00,10.34,9.81,10.15,44627700,10.15
2017-02-07,9.75,10.24,9.58,10.17,50832200,10.17
2017-02-06,9.42,10.25,9.42,9.73,55062900,9.73
2017-02-03,9.19,9.56,9.11,9.38,36788900,9.38
2017-02-02,9.15,9.15,9.15,9.15,000,9.15
2017-02-01,9.15,9.15,9.15,9.15,000,9.15
2017-01-31,9.15,9.15,9.15,9.15,000,9.15
2017-01-30,9.15,9.15,9.15,9.15,000,9.15
2017-01-27,9.15,9.15,9.15,9.15,000,9.15
2017-01-26,9.18,9.31,9.03,9.15,23762800,9.15
2017-01-25,9.10,9.55,8.85,9.24,51012100,9.24
2017-01-24,9.23,9.40,9.05,9.06,34095100,9.06
2017-01-23,9.02,9.28,8.98,9.24,35212900,9.24
2017-01-20,8.99,9.24,8.93,9.12,54463600,9.12
2017-01-19,8.33,9.21,8.33,9.21,87119500,9.21
2017-01-18,8.60,8.80,8.33,8.37,18840000,8.37
2017-01-17,8.28,8.62,8.28,8.57,18610900,8.57
2017-01-16,8.24,8.63,8.04,8.28,32303400,8.28
2017-01-13,8.78,9.18,8.26,8.30,22871300,8.30
2017-01-12,8.87,8.95,8.56,8.77,17771700,8.77
2017-01-11,9.09,9.17,8.77,8.77,15830600,8.77
2017-01-10,9.18,9.48,9.02,9.05,18486600,9.05
2017-01-09,9.13,9.76,9.12,9.29,33516400,9.29
2017-01-06,9.13,9.36,9.02,9.13,23782200,9.13
2017-01-05,9.12,9.38,9.03,9.15,24475600,9.15
2017-01-04,8.74,9.31,8.74,9.16,49611500,9.16
2017-01-03,8.40,8.75,8.38,8.62,20237000,8.62
2017-01-02,8.38,8.38,8.38,8.38,000,8.38
2016-12-30,8.34,8.57,8.22,8.38,23814300,8.38
2016-12-29,8.12,8.36,8.04,8.29,20043000,8.29
2016-12-28,8.00,8.12,8.00,8.10,8736100,8.10
2016-12-27,8.05,8.11,7.98,8.04,9116000,8.04
2016-12-26,8.03,8.09,7.91,8.06,7351200,8.06
2016-12-23,8.00,8.20,7.92,8.09,11821300,8.09
2016-12-22,8.04,8.07,7.93,8.07,11556100,8.07
2016-12-21,8.11,8.13,7.98,8.03,13240100,8.03
2016-12-20,8.09,8.23,8.03,8.07,15868400,8.07
2016-12-19,8.15,8.22,7.98,8.06,20760200,8.06
2016-12-16,8.10,8.43,8.02,8.20,35377500,8.20
2016-12-15,9.31,9.31,8.35,8.35,76516100,8.35
2016-12-14,9.08,9.51,9.05,9.28,88748400,9.28
2016-12-13,9.00,9.23,8.89,9.09,32878300,9.09
2016-12-12,9.29,9.40,8.92,9.04,37025400,9.04
2016-12-09,9.28,9.76,9.07,9.40,63465600,9.40
2016-12-08,9.20,9.38,9.15,9.24,26336000,9.24
2016-12-07,9.08,9.39,9.07,9.22,27027500,9.22
2016-12-06,9.18,9.23,9.00,9.10,15438200,9.10
2016-12-05,9.18,9.44,9.03,9.18,41693400,9.18
2016-12-02,9.39,9.39,9.14,9.23,24128800,9.23
2016-12-01,9.21,9.37,9.12,9.22,21953200,9.22
2016-11-30,9.19,9.37,9.00,9.22,43927200,9.22
2016-11-29,8.85,9.45,8.82,9.20,66437200,9.20
2016-11-28,8.50,8.81,8.42,8.81,18205500,8.81
2016-11-25,8.46,8.65,8.37,8.50,24960900,8.50
2016-11-24,8.80,8.90,8.19,8.55,44229000,8.55
2016-11-23,9.10,9.11,8.82,8.86,28004400,8.86
2016-11-22,9.27,9.35,9.01,9.08,40243000,9.08
2016-11-21,9.24,9.40,9.14,9.26,39532400,9.26
2016-11-18,9.48,9.64,9.23,9.23,66951400,9.23
2016-11-17,9.08,9.89,8.95,9.62,92855800,9.62
2016-11-16,8.88,9.05,8.88,9.00,20291500,9.00
2016-11-15,8.91,9.07,8.78,8.91,29425900,8.91
2016-11-14,8.89,8.92,8.74,8.87,25141500,8.87
2016-11-11,8.79,9.15,8.55,8.90,69348700,8.90
2016-11-10,8.65,8.85,8.53,8.70,39076500,8.70
2016-11-09,8.60,8.74,8.48,8.66,55740600,8.66
2016-11-08,7.84,8.61,7.81,8.61,57070900,8.61
2016-11-07,7.75,7.95,7.75,7.83,11216400,7.83
2016-11-04,7.62,7.97,7.62,7.83,31235200,7.83
2016-11-03,7.43,7.64,7.40,7.57,8860500,7.57
2016-11-02,7.53,7.58,7.41,7.48,8148800,7.48
2016-11-01,7.42,7.66,7.39,7.58,17751900,7.58
2016-10-31,7.36,7.46,7.32,7.42,7578600,7.42
2016-10-28,7.51,7.55,7.31,7.36,5351700,7.36
2016-10-27,7.50,7.61,7.47,7.51,8192000,7.51
2016-10-26,7.49,7.56,7.35,7.51,9730100,7.51
2016-10-25,7.57,7.61,7.48,7.53,7025700,7.53
2016-10-24,7.66,7.67,7.47,7.58,12899000,7.58
2016-10-21,7.33,7.73,7.32,7.66,13524600,7.66
2016-10-20,7.35,7.45,7.27,7.30,4909400,7.30
2016-10-19,7.42,7.50,7.32,7.36,3711100,7.36
2016-10-18,7.28,7.41,7.25,7.41,4391700,7.41
2016-10-17,7.31,7.42,7.25,7.29,4244300,7.29
2016-10-14,7.44,7.49,7.25,7.32,5426400,7.32
2016-10-13,7.30,7.54,7.25,7.46,11523300,7.46
2016-10-12,7.34,7.47,7.23,7.29,10116500,7.29
2016-10-11,7.22,7.43,7.20,7.34,8655800,7.34
2016-10-10,7.07,7.23,7.06,7.20,5825800,7.20
2016-10-07,7.03,7.03,7.03,7.03,000,7.03
2016-10-06,7.03,7.03,7.03,7.03,000,7.03
2016-10-05,7.03,7.03,7.03,7.03,000,7.03
2016-10-04,7.03,7.03,7.03,7.03,000,7.03
2016-10-03,7.03,7.03,7.03,7.03,000,7.03
2016-09-30,7.00,7.09,6.96,7.03,5315300,7.03
2016-09-29,6.87,7.17,6.81,7.00,7797400,7.00
2016-09-28,6.81,6.94,6.73,6.87,4935300,6.87
2016-09-27,7.06,7.09,6.65,6.80,12017700,6.80
2016-09-26,7.09,7.23,7.02,7.05,9237500,7.05
2016-09-23,7.14,7.15,7.06,7.08,2179000,7.08
2016-09-22,7.17,7.17,7.09,7.12,4998000,7.12
2016-09-21,7.14,7.17,7.09,7.11,2764600,7.11
2016-09-20,7.21,7.25,7.10,7.12,5225300,7.12
2016-09-19,7.20,7.30,7.18,7.23,4695000,7.23
2016-09-16,7.27,7.27,7.27,7.27,000,7.27
2016-09-15,7.27,7.27,7.27,7.27,000,7.27
2016-09-14,7.10,7.30,7.05,7.27,5619000,7.27
2016-09-13,7.08,7.21,7.02,7.16,7425100,7.16
2016-09-12,7.26,7.26,7.00,7.04,8777600,7.04
2016-09-09,7.49,7.52,7.36,7.36,5345700,7.36
2016-09-08,7.43,7.50,7.38,7.50,5647300,7.50
2016-09-07,7.44,7.48,7.35,7.42,8255200,7.42
2016-09-06,7.43,7.49,7.28,7.46,6778600,7.46
2016-09-05,7.53,7.60,7.43,7.47,6119600,7.47
2016-09-02,7.30,7.50,7.25,7.47,5884200,7.47
2016-09-01,7.40,7.41,7.31,7.32,3687300,7.32
2016-08-31,7.46,7.47,7.34,7.39,2846200,7.39
2016-08-30,7.46,7.50,7.40,7.42,2853500,7.42
2016-08-29,7.37,7.49,7.33,7.43,3660700,7.43
2016-08-26,7.33,7.52,7.29,7.37,7121700,7.37
2016-08-25,7.33,7.33,7.18,7.30,8267500,7.30
2016-08-24,7.43,7.47,7.28,7.38,10364800,7.38
2016-08-23,7.47,7.53,7.35,7.41,9194100,7.41
2016-08-22,7.83,7.93,7.46,7.47,19527000,7.47
2016-08-19,7.83,7.93,7.77,7.86,9868300,7.86
2016-08-18,8.03,8.03,7.80,7.83,11316600,7.83
2016-08-17,8.11,8.12,7.91,8.01,8303500,8.01
2016-08-16,8.19,8.35,7.91,8.10,15868700,8.10
2016-08-15,7.77,8.12,7.77,8.03,22070800,8.03
2016-08-12,7.72,7.85,7.52,7.76,8673300,7.76
2016-08-11,7.90,7.93,7.61,7.66,14334500,7.66
2016-08-10,7.97,8.19,7.92,7.97,13570000,7.97
2016-08-09,7.92,8.00,7.80,7.96,6892900,7.96
2016-08-08,7.78,7.93,7.71,7.92,5751700,7.92
2016-08-05,7.90,7.91,7.75,7.83,6644300,7.83
2016-08-04,8.02,8.05,7.84,7.92,8070700,7.92
2016-08-03,7.70,8.10,7.70,8.04,15195900,8.04
2016-08-02,7.71,7.93,7.61,7.79,7352900,7.79
2016-08-01,7.78,7.96,7.51,7.78,15691700,7.78
2016-07-29,7.57,7.94,7.52,7.83,19691100,7.83
2016-07-28,7.30,7.66,7.21,7.60,12762700,7.60
