rate,FundID,FundName,avgIncrease,increaseRate
106,050001,博时价值增长,0.0930000000000001,0.0385
107,519692,交银成长,0.4239,0.0388
108,213001,宝盈鸿利收益,0.1905,0.0392
109,920002,中金精选,0.1677,0.04
110,240010,华宝兴业行业精选,0.2193,0.0416
111,160311,华夏蓝筹核心,0.151,0.0423
111,398021,中海能源策略,0.2367,0.0423
112,450001,富兰克林国海收益,0.1507,0.0428
113,519001,银华优选股票,0.2166,0.0433
114,519993,长信增利动态,0.1884,0.0438
115,202001,南方稳健成长,0.2308,0.044
116,217005,招商先锋,0.8788,0.0447
117,570001,诺德价值优势,0.2082,0.0454
118,161706,招商成长,0.2515,0.0469
119,590001,中邮核心优选,0.4194,0.0473
120,020009,国泰金鹏蓝筹价值,0.199,0.0488
121,162205,泰达荷银预算,0.1114,0.049
122,161903,万家公用,0.302,0.0495
122,519021,国泰金鼎价值,0.19,0.0495
123,580002,东吴价值成长,0.2793,0.0523
124,510180,180ETF,2.113,0.0526
125,550001,信诚四季红,0.2881,0.0530
126,110001,易方达平稳,0.235,0.0533
127,162607,景顺资源,0.18,0.055
128,340001,兴业转债,0.2574,0.0559
129,288001,中信经典配置,0.2625,0.0564
130,002011,华夏红利,0.424,0.0569
131,398011,中海分红增利,0.1266,0.0576
131,377010,上投阿尔法,0.7827,0.0576
132,260101,景顺优选股票,0.2097,0.0585
132,519017,大成积极成长,0.233,0.0585
133,310358,申万巴黎新经济,1.3921,0.062
134,090006,大成生命周期,1.582,0.0626
135,260109,景顺内需增长2,0.431,0.0638
136,160608,普天债券B,0.034,0.0652
137,310308,盛利精选,0.1252,0.0671
137,160602,普天债券A,0.036,0.0671
138,510081,长盛动态精选,0.3266,0.0697
138,940002,华泰紫金2号,0.1986,0.0697
139,202002,南方稳健成长贰号,0.1685,0.07
140,270006,广发优选,0.4092,0.0719
141,040001,华安创新,3.47,0.0730
142,161609,融通动力先锋,0.399,0.0747
143,001001,华夏债券A/B类,0.0409999999999999,0.075
143,217008,招商安本增利,0.0768000000000002,0.075
144,001003,华夏债券C类,0.0409999999999999,0.0752
145,090004,大成精选增值,0.2205,0.0754
146,100026,富国天合,1.4398,0.0759
147,340006,兴业全球视野,0.3906,0.0764
148,360001,光大量化核心,0.2483,0.077
149,270007,广发大盘,0.1665,0.0778
150,070001,嘉实成长,0.1637,0.0780
151,519100,长盛中证100,0.3677,0.0788
152,253010,德盛安心成长,0.133,0.0797
153,040004,华安宝利,0.831,0.08
154,161610,融通领先成长,0.202,0.0816
155,519688,交银精选,0.1895,0.0823
156,210001,金鹰优选,0.308,0.0847
157,519180,万家180,1.4699,0.0861
158,202201,南方避险增值,0.2012,0.0869
159,180010,银华优质增长,1.1431,0.087
160,260108,景顺长城新兴成长,0.192,0.0880
161,050009,博时新兴成长,0.129,0.0892
162,040008,华安优选,0.1175,0.0897
163,217002,招商安泰平衡,0.1897,0.0914
163,180003,银华—道琼斯88,0.1875,0.0914
164,161902,万家保本,0.0528999999999999,0.0923
165,519666,银河银信添利,0.0591000000000002,0.0926
166,020006,国泰金象保本,0.268,0.0935
167,020003,国泰金龙行业,0.361,0.0940
168,202101,南方宝元债券,0.0575000000000001,0.0945
169,377020,上投内需动力,0.1756,0.0947
170,519029,华夏平稳增长,0.245,0.0954
171,202102,南方多利,0.0489999999999999,0.0957
172,200007,长城安心回报,1.3018,0.0959
173,288102,中信稳定双利,0.0745,0.0966
174,020008,国泰金鹿保本,0.166,0.0980
174,161607,融通巨潮,0.265,0.0980
175,202005,南方成份精选,0.1683,0.1030
176,000021,华夏优势,0.422,0.1061
177,320004,诺安债券,0.0479999999999998,0.1064
178,180002,银华保本增值,0.0895999999999999,0.1066
179,240004,华宝动力组合,0.275,0.1069
180,200008,长城品牌,0.1492,0.1076
